epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds,peak_gpu_memory_mb
1,0.001,2.8583449222698287,0.062454659368198905,2.837791718219791,0.07477744807121661,30.57426059999989,2115.4677734375
2,0.001,2.85022221515371,0.06535645980346896,2.8523233020341006,0.05637982195845697,31.15421399999991,2115.4677734375
3,0.001,2.8428642377606215,0.06443315966497395,2.861082037549344,0.06468842729970327,32.34521789999985,2115.4677734375
4,0.001,2.829785466091949,0.06364175954626393,2.809584130589969,0.06350148367952523,31.46285409999996,2115.4677734375
5,0.001,2.8405096777462044,0.06562025984303897,2.82885686169746,0.058160237388724036,31.499911099999963,2115.4677734375
6,0.001,2.830182706131231,0.06344390951658643,2.847369266617546,0.07952522255192879,31.489666100000022,2115.4677734375
7,0.001,2.784301939012507,0.09358306403745961,2.718161133135108,0.10563798219584569,31.500141900000017,2115.4677734375
8,0.001,2.70110317843575,0.1201609180241377,2.6961371312863043,0.11750741839762611,31.18079940000007,2115.4677734375
9,0.001,2.6600158236582283,0.12774516916177536,2.770074289418116,0.10801186943620178,31.64377330000002,2115.4677734375
10,0.001,2.6285580151755474,0.13466992020048804,2.8121405222295652,0.1026706231454006,31.80509649999999,2115.4677734375
11,0.001,2.606508018331635,0.14073732111059817,2.5819435821442647,0.13887240356083086,31.536767400000144,2115.4677734375
12,0.001,2.58156768418566,0.1457495218624283,3.1000120706303536,0.1198813056379822,31.57181569999989,2115.4677734375
13,0.001,2.550422364910855,0.15043197256479587,6.511728239766922,0.08427299703264095,31.58596139999986,2115.4677734375
14,0.001,2.5146975959266373,0.15874167381125107,2.515581040707823,0.1572700296735905,31.595981500000107,2115.4677734375
15,0.001,2.4798828054369104,0.17054672558200884,2.9189591716234338,0.15311572700296736,31.924525399999993,2115.4677734375
16,0.001,2.4442297748625297,0.18393457759018664,3.4925756669539725,0.15845697329376854,32.39892350000014,2115.4677734375
17,0.001,2.3724006123917953,0.20741278111191716,7.170624771457751,0.11750741839762611,32.50608850000003,2115.4677734375
18,0.001,2.2930437320849357,0.23761788564268285,6.346470137236734,0.24094955489614242,31.453065099999776,2115.4677734375
19,0.001,2.203993503064505,0.26920794038119106,8.250471896729058,0.2545994065281899,31.560685599999942,2115.4677734375
20,0.001,2.1293593586839488,0.28589329288399395,4.736556571032244,0.2652818991097923,31.46833259999994,2115.4677734375
21,0.001,2.0550573750016463,0.3015893952384093,2.114189165070078,0.29317507418397626,33.21785470000009,2115.4677734375
22,0.001,2.010964291191491,0.3078546461781969,7.498996113174393,0.26884272997032643,31.532265800000005,2115.4677734375
23,0.001,1.9803249173842687,0.310888346633252,11.770164271278269,0.2605341246290801,31.493615500000033,2115.4677734375
24,0.001,1.9506390423068096,0.3160983974147596,2.0621913907082217,0.3032640949554896,31.35533290000012,2115.4677734375
25,0.001,1.949044466427493,0.31840664776099714,2.0739965095010637,0.29198813056379824,31.267261800000142,2115.4677734375
26,0.001,1.9230100973169904,0.3205829980874497,2.911633906520085,0.26409495548961426,31.338064900000063,2115.4677734375
27,0.001,1.9132984532676585,0.32150629822594473,13.797304285881427,0.27062314540059346,31.665968599999815,2115.4677734375
28,0.001,1.9047161986879266,0.3285629492844424,3.314737137276624,0.27359050445103855,31.495359800000188,2115.4677734375
29,0.001,1.9015434617017573,0.32777154916573237,6.418958470941651,0.256973293768546,31.607017799999994,2115.4677734375
30,0.001,1.8958449096248229,0.33021169953175494,4.007101026416179,0.2973293768545994,31.477916099999675,2115.4677734375
31,0.001,1.881735448565889,0.333377300006595,6.117394667775412,0.2741839762611276,31.54507560000002,2115.4677734375
32,0.001,1.8852422090458192,0.33608125041218756,2.2838498084410714,0.2890207715133531,35.61913170000025,2115.4677734375
33,0.001,1.8737944947661427,0.33594935039240253,15.879524545641257,0.2771513353115727,37.44500700000026,2115.4677734375
34,0.001,1.8643244699194996,0.33918090087713515,3.490155436518638,0.26112759643916916,31.457999199999904,2115.4677734375
